Type,Name,Length,Width,Quantity,Notes,Can Rotate (https://feature-panel-rotation.maxcutsoftware.com),Material,Edging Length 1,Edging Length 2,Edging Width 1,Edging Width 2,Include Edging Thickness,Note 1,Note 2,Note 3,Note 4,Group,Report Tags,Import ID,Parent ID,Library Item Name,Holes Length 1,Holes Length 2,Holes Width 1,Holes Width 2,Grooving Length 1,Grooving Length 2,Grooving Width 1,Grooving Width 2,Material Tag,Edging Length 1 Tag,Edging Length 2 Tag,Edging Width 1 Tag,Edging Width 2 Tag,Apply Machining Charge,Long Expansion,Short Expansion,Include in Optimization
,GBR W2  D VP,148,454,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  D SIDE-G,450,120,4,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2 D FRONT-G,448,90,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2 D BACK-G,448,120,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2 D 6MM BACK,429,365,2,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2 D FACIA,419,144,2,,,16MR FABRIC+FABRIC,2MM FABRIC,2MM FABRIC,2MM FABRIC,2MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR LOFT FILLER,2398,120,1,,,16MR 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR LOFT FILLER,2398,75,1,,,16MR 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR LOFT DOOR,484,479,4,,,16HD 0102 SGP+FABRIC,2MM 0102 SGP,2MM 0102 SGP,2MM 0102 SGP,2MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR LOFT SIDE,700,578,1,,,16MR 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR LOFT PATTA,2400,100,5,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE   SP-G,408,428,1,,,16MR 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE   SP-G,408,428,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE   TOP-G,418,428,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE   BOT-G,418,428,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE   BACK,279,435,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE EXTARA TOP,496,446,1,,,16MR 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE SKARTIG,108,600,1,,,16MR 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE  D SIDE-G,398,120,8,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE D FRONT-G,353,90,4,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE D BACK-G,353,120,4,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE D 6MM BACK,379,370,2,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR BASE D FACIA,454,144,2,,,16HD 0102 SGP+FABRIC,2MM 0102 SGP,2MM 0102 SGP,2MM 0102 SGP,2MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL SIDE-G,1768,298,1,,,16MR 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL SIDE-G,1768,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL TOP-G,418,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL BOTTM-G,418,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL 6MM BACK,1549,435,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL FS,418,250,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL RS,417,250,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL FILLR,2400,75,1,,,16MR 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL DUMMI,454,94,1,,,16HD 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR DR WALL DOOR,1464,454,1,,,16HD 0118 SGP+FABRIC,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, KBR W2  SP-G,2098,578,1,,,16MR 269 SMT+FABRIC,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
, KBR W2  SP-G,2098,578,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  TOP-G,1308,578,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  BOT-G,1308,578,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  VP G+G,1952,578,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  BACK,1969,436,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  BACK,1969,956,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  FS,418,513,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  RS,417,513,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  FS,868,513,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
